
reward_0,reward_1
10.0,110.0
110.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
20.0,50.0
20.0,110.0
50.0,20.0
110.0,50.0
20.0,110.0
110.0,10.0
20.0,20.0
110.0,50.0
10.0,50.0
10.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
10.0,50.0
110.0,50.0
20.0,110.0
20.0,10.0
20.0,10.0
20.0,10.0
50.0,110.0
110.0,10.0
110.0,10.0
110.0,20.0
110.0,20.0
110.0,20.0
20.0,50.0
110.0,50.0
10.0,110.0
110.0,50.0
10.0,110.0
20.0,110.0
110.0,20.0
50.0,20.0
50.0,20.0
50.0,110.0
50.0,50.0
50.0,110.0
110.0,20.0
10.0,50.0
10.0,50.0
20.0,50.0
110.0,50.0
10.0,50.0
20.0,50.0
110.0,50.0
10.0,50.0
10.0,50.0
20.0,110.0
20.0,110.0
50.0,50.0
110.0,50.0
110.0,50.0
20.0,110.0
20.0,10.0
110.0,10.0
110.0,20.0
10.0,110.0
110.0,10.0
20.0,10.0
110.0,10.0
20.0,20.0
110.0,50.0
10.0,110.0
110.0,50.0
110.0,50.0
20.0,50.0
110.0,50.0
110.0,50.0
20.0,50.0
20.0,110.0
20.0,50.0
110.0,50.0
10.0,50.0
110.0,50.0
110.0,50.0
20.0,110.0
110.0,10.0
20.0,10.0
20.0,20.0
110.0,20.0
110.0,50.0
10.0,110.0
20.0,110.0
50.0,10.0
110.0,20.0
110.0,50.0
110.0,50.0
10.0,50.0
20.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
20.0,50.0
50.0,50.0
50.0,110.0
110.0,10.0
50.0,10.0
110.0,10.0
110.0,20.0
110.0,50.0
110.0,50.0
110.0,50.0
10.0,50.0
20.0,50.0
20.0,50.0
110.0,50.0
110.0,50.0
20.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
10.0,50.0
20.0,110.0
50.0,110.0
110.0,10.0
50.0,20.0
50.0,20.0
110.0,20.0
110.0,20.0
20.0,110.0
110.0,50.0
20.0,50.0
110.0,50.0
20.0,50.0
20.0,110.0
110.0,20.0
50.0,50.0
50.0,110.0
110.0,20.0
110.0,50.0
110.0,50.0
20.0,50.0
110.0,50.0
110.0,50.0
20.0,50.0
110.0,50.0
20.0,50.0
110.0,50.0
20.0,50.0
50.0,110.0
110.0,10.0
10.0,110.0
110.0,20.0
110.0,50.0
50.0,50.0
50.0,110.0
110.0,20.0
110.0,20.0
110.0,50.0
20.0,110.0
110.0,50.0
110.0,50.0
110.0,50.0
10.0,50.0
20.0,50.0
50.0,110.0
110.0,20.0
110.0,20.0
110.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
20.0,50.0
110.0,50.0
10.0,50.0
20.0,50.0
110.0,50.0
10.0,50.0
10.0,50.0
10.0,50.0
10.0,50.0
20.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
10.0,50.0
20.0,50.0
110.0,50.0
10.0,50.0
10.0,50.0
10.0,50.0
20.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
10.0,50.0
10.0,50.0
20.0,50.0
110.0,50.0
10.0,50.0
10.0,50.0
10.0,50.0
20.0,50.0
110.0,50.0
10.0,50.0
20.0,50.0
110.0,50.0
110.0,50.0
10.0,50.0
20.0,50.0
110.0,50.0
10.0,50.0
20.0,50.0
110.0,50.0
10.0,50.0
10.0,50.0
20.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
20.0,50.0
110.0,50.0
20.0,50.0
110.0,50.0
20.0,50.0
110.0,50.0
10.0,50.0
20.0,50.0
110.0,50.0
110.0,50.0
20.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
20.0,50.0
110.0,50.0
110.0,50.0
20.0,50.0
110.0,50.0
20.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
110.0,50.0
10.0,50.0
10.0,50.0
10.0,50.0
20.0,50.0
110.0,50.0
20.0,50.0
110.0,50.0
110.0,50.0
